brewery_name,beer_name,beer_images,beer_url,beer_ABV,beer_IBU,beer_Description,beer_rating,typo_error 
Croma,Green Force #4 (Centennial),Green_Force_4_(Centennial)_image2.jpg,https://untappd.com/b/croma-green-force-4-centennial/2895419,7.2% ABV,40 IBU,"Novidade da série Single Hop da cervejaria. Dessa vez o escolhido foi o Centennial, algumas vezes chamado de Super Cascade, o Centennial apresenta características aromáticas florais, cítricas e levemente terrosas. Nessa cerveja os toques de limão e tangerina são bem perceptíveis.",4.17,
Croma,Green Force #4 (Centennial),Green_Force_4_(Centennial)_image3.jpg,https://untappd.com/b/croma-green-force-4-centennial/2895419,7.2% ABV,40 IBU,"Novidade da série Single Hop da cervejaria. Dessa vez o escolhido foi o Centennial, algumas vezes chamado de Super Cascade, o Centennial apresenta características aromáticas florais, cítricas e levemente terrosas. Nessa cerveja os toques de limão e tangerina são bem perceptíveis.",4.17,
Croma,Blockheads,Blockheads_image1.jpg,https://untappd.com/b/croma-blockheads/2910216,7% ABV,40 IBU,"Blockheads é uma NEIPA que nasceu da nossa vontade de experimentar! Por isso encaixamos os lúpulos: Bru-1, Callista e Hallertau Blanc e fizemos 3 rótulos diferentes para você colecionar #BCH ",3.94,
Croma,Blockheads,Blockheads_image2.jpg,https://untappd.com/b/croma-blockheads/2910216,7% ABV,40 IBU,"Blockheads é uma NEIPA que nasceu da nossa vontade de experimentar! Por isso encaixamos os lúpulos: Bru-1, Callista e Hallertau Blanc e fizemos 3 rótulos diferentes para você colecionar #BCH ",3.94,
Croma,Blockheads,Blockheads_image3.jpg,https://untappd.com/b/croma-blockheads/2910216,7% ABV,40 IBU,"Blockheads é uma NEIPA que nasceu da nossa vontade de experimentar! Por isso encaixamos os lúpulos: Bru-1, Callista e Hallertau Blanc e fizemos 3 rótulos diferentes para você colecionar #BCH ",3.94,
Croma,Big Sur,Big_Sur_image1.jpg,https://untappd.com/b/croma-big-sur/2720965,8.5% ABV,80 IBU,"A BIG SUR é uma Double West Coast IPA típica da costa oeste dos EUA com 8,5%, 80 IBU, perfil maltado e recheada com Simcoe, Galaxy e Citra! ",4.03,
Croma,Big Sur,Big_Sur_image2.jpg,https://untappd.com/b/croma-big-sur/2720965,8.5% ABV,80 IBU,"A BIG SUR é uma Double West Coast IPA típica da costa oeste dos EUA com 8,5%, 80 IBU, perfil maltado e recheada com Simcoe, Galaxy e Citra! ",4.03,
Croma,Big Sur,Big_Sur_image3.jpg,https://untappd.com/b/croma-big-sur/2720965,8.5% ABV,80 IBU,"A BIG SUR é uma Double West Coast IPA típica da costa oeste dos EUA com 8,5%, 80 IBU, perfil maltado e recheada com Simcoe, Galaxy e Citra! ",4.03,
Croma,Pitaya Waves,Pitaya_Waves_image1.jpg,https://untappd.com/b/croma-pitaya-waves/2766289,4.2% ABV,8 IBU,"A Pitaya Waves é uma Berliner Weisse, uma cerveja turva e ácida com adição de pitaya, goiaba e uva bordô. Possui uma espuma cremosa e persistente, resultado da quantidade generosa de aveia e trigo presentes na receita. ",3.91,
Croma,Pitaya Waves,Pitaya_Waves_image2.jpg,https://untappd.com/b/croma-pitaya-waves/2766289,4.2% ABV,8 IBU,"A Pitaya Waves é uma Berliner Weisse, uma cerveja turva e ácida com adição de pitaya, goiaba e uva bordô. Possui uma espuma cremosa e persistente, resultado da quantidade generosa de aveia e trigo presentes na receita. ",3.91,
Croma,Pitaya Waves,Pitaya_Waves_image3.jpg,https://untappd.com/b/croma-pitaya-waves/2766289,4.2% ABV,8 IBU,"A Pitaya Waves é uma Berliner Weisse, uma cerveja turva e ácida com adição de pitaya, goiaba e uva bordô. Possui uma espuma cremosa e persistente, resultado da quantidade generosa de aveia e trigo presentes na receita. ",3.91,
Croma,Twinn,Twinn_image1.jpg,https://untappd.com/b/croma-twinn/2820659,3.9% ABV,8 IBU,"A Twinn é uma Sour Ale cerveja com leve acidez, turbidez alta e com adição de cajá. ",3.94,
Croma,Twinn,Twinn_image2.jpg,https://untappd.com/b/croma-twinn/2820659,3.9% ABV,8 IBU,"A Twinn é uma Sour Ale cerveja com leve acidez, turbidez alta e com adição de cajá. ",3.94,
Croma,Twinn,Twinn_image3.jpg,https://untappd.com/b/croma-twinn/2820659,3.9% ABV,8 IBU,"A Twinn é uma Sour Ale cerveja com leve acidez, turbidez alta e com adição de cajá. ",3.94,
Croma,Toolbox,Toolbox_image1.jpg,https://untappd.com/b/croma-toolbox/2798687,8.2% ABV,70 IBU,"A Toolbox é uma Double India Pale Ale (DIPA) com 8,2% ABV e 70 IBU. O Dry Hopping dessa cerveja é muito intenso e foi dividido em três etapas e temperaturas distintas, o que confere maior complexidade aromática e de sabor para essa cerveja. ",4.14,
Croma,Toolbox,Toolbox_image2.jpg,https://untappd.com/b/croma-toolbox/2798687,8.2% ABV,70 IBU,"A Toolbox é uma Double India Pale Ale (DIPA) com 8,2% ABV e 70 IBU. O Dry Hopping dessa cerveja é muito intenso e foi dividido em três etapas e temperaturas distintas, o que confere maior complexidade aromática e de sabor para essa cerveja. ",4.14,
Croma,Toolbox,Toolbox_image3.jpg,https://untappd.com/b/croma-toolbox/2798687,8.2% ABV,70 IBU,"A Toolbox é uma Double India Pale Ale (DIPA) com 8,2% ABV e 70 IBU. O Dry Hopping dessa cerveja é muito intenso e foi dividido em três etapas e temperaturas distintas, o que confere maior complexidade aromática e de sabor para essa cerveja. ",4.14,
Croma,Green Force #1 (Citra),Green_Force_1_(Citra)_image1.jpg,https://untappd.com/b/croma-green-force-1-citra/2605855,7.2% ABV,45 IBU,"A GREEN FORCE #1 é uma Juicy IPA, ou New England IPA produzida com uma única variedade de lúpulo (Citra) tanto na fervura como também nos dois dry hoppings (infusão de lúpulos a frio na maturação). Nessa receita, a escolha foi por utilizar lúpulos no formato PELLET 90. Possui corpo alto e a sensação de boca é aveludada, característica das cervejas do estilo.",4.16,
Croma,Green Force #1 (Citra),Green_Force_1_(Citra)_image2.jpg,https://untappd.com/b/croma-green-force-1-citra/2605855,7.2% ABV,45 IBU,"A GREEN FORCE #1 é uma Juicy IPA, ou New England IPA produzida com uma única variedade de lúpulo (Citra) tanto na fervura como também nos dois dry hoppings (infusão de lúpulos a frio na maturação). Nessa receita, a escolha foi por utilizar lúpulos no formato PELLET 90. Possui corpo alto e a sensação de boca é aveludada, característica das cervejas do estilo.",4.16,
Croma,Green Force #1 (Citra),Green_Force_1_(Citra)_image3.jpg,https://untappd.com/b/croma-green-force-1-citra/2605855,7.2% ABV,45 IBU,"A GREEN FORCE #1 é uma Juicy IPA, ou New England IPA produzida com uma única variedade de lúpulo (Citra) tanto na fervura como também nos dois dry hoppings (infusão de lúpulos a frio na maturação). Nessa receita, a escolha foi por utilizar lúpulos no formato PELLET 90. Possui corpo alto e a sensação de boca é aveludada, característica das cervejas do estilo.",4.16,
Croma,4 Billion Tools,4_Billion_Tools_image1.jpg,https://untappd.com/b/croma-4-billion-tools/2949470,8% ABV,40 IBU,"An evolution of the Toolbox that gives rise to new series ""4 BILLION"". With new dry hopping and 8% ABV, citrus flavors such as mango and passion fruit are featured in this double IPA NE leading Citra, Amarillo and Mosaic. ",4.23,
Croma,4 Billion Tools,4_Billion_Tools_image2.jpg,https://untappd.com/b/croma-4-billion-tools/2949470,8% ABV,40 IBU,"An evolution of the Toolbox that gives rise to new series ""4 BILLION"". With new dry hopping and 8% ABV, citrus flavors such as mango and passion fruit are featured in this double IPA NE leading Citra, Amarillo and Mosaic. ",4.23,
Croma,4 Billion Tools,4_Billion_Tools_image3.jpg,https://untappd.com/b/croma-4-billion-tools/2949470,8% ABV,40 IBU,"An evolution of the Toolbox that gives rise to new series ""4 BILLION"". With new dry hopping and 8% ABV, citrus flavors such as mango and passion fruit are featured in this double IPA NE leading Citra, Amarillo and Mosaic. ",4.23,
Croma,Boombox,Boombox_image1.jpg,https://untappd.com/b/croma-boombox/2553121,7.9% ABV,60 IBU,"Double Juicy IPA com lúpulos Amarillo, Citra, Cryo Mosaic e El Dorado. ",4.22,
Croma,Boombox,Boombox_image2.jpg,https://untappd.com/b/croma-boombox/2553121,7.9% ABV,60 IBU,"Double Juicy IPA com lúpulos Amarillo, Citra, Cryo Mosaic e El Dorado. ",4.22,
Croma,Boombox,Boombox_image3.jpg,https://untappd.com/b/croma-boombox/2553121,7.9% ABV,60 IBU,"Double Juicy IPA com lúpulos Amarillo, Citra, Cryo Mosaic e El Dorado. ",4.22,
Croma,Ponkan,Ponkan_image1.jpg,https://untappd.com/b/croma-ponkan/2387971,5.5% ABV,35 IBU,"A Ponkan é uma Juicy APA ou New England APA com adição de TANGERINA PONKAN. A fruta que dá nome à receita foi criteriosamente selecionada em Cerro Azul, município pertencente ao Vale do Ribeira e conhecido por ser a terra da mexerica. Nessa região, o clima é bastante favorável, pois as temperaturas são ideais para o desenvolvimento de citros e a amplitude térmica melhora a cor, o sabor e o aroma da fruta. Além da adição da fruta, a cerveja recebe um duplo dry hopping dos lúpulos Amarillo, Citra e Mosaic que complementa a explosão de aromas e sabores. ",4.01,
Croma,Ponkan,Ponkan_image2.jpg,https://untappd.com/b/croma-ponkan/2387971,5.5% ABV,35 IBU,"A Ponkan é uma Juicy APA ou New England APA com adição de TANGERINA PONKAN. A fruta que dá nome à receita foi criteriosamente selecionada em Cerro Azul, município pertencente ao Vale do Ribeira e conhecido por ser a terra da mexerica. Nessa região, o clima é bastante favorável, pois as temperaturas são ideais para o desenvolvimento de citros e a amplitude térmica melhora a cor, o sabor e o aroma da fruta. Além da adição da fruta, a cerveja recebe um duplo dry hopping dos lúpulos Amarillo, Citra e Mosaic que complementa a explosão de aromas e sabores. ",4.01,
Croma,Ponkan,Ponkan_image3.jpg,https://untappd.com/b/croma-ponkan/2387971,5.5% ABV,35 IBU,"A Ponkan é uma Juicy APA ou New England APA com adição de TANGERINA PONKAN. A fruta que dá nome à receita foi criteriosamente selecionada em Cerro Azul, município pertencente ao Vale do Ribeira e conhecido por ser a terra da mexerica. Nessa região, o clima é bastante favorável, pois as temperaturas são ideais para o desenvolvimento de citros e a amplitude térmica melhora a cor, o sabor e o aroma da fruta. Além da adição da fruta, a cerveja recebe um duplo dry hopping dos lúpulos Amarillo, Citra e Mosaic que complementa a explosão de aromas e sabores. ",4.01,
Croma,Full Moon,Full_Moon_image1.jpg,https://untappd.com/b/croma-full-moon/2280386,7% ABV,50 IBU,"A Full Moon é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Azzaca, Citra e Ekuanot e devido ao processo de Duplo Dry Hop possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante ",4.16,
Croma,Full Moon,Full_Moon_image2.jpg,https://untappd.com/b/croma-full-moon/2280386,7% ABV,50 IBU,"A Full Moon é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Azzaca, Citra e Ekuanot e devido ao processo de Duplo Dry Hop possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante ",4.16,
Croma,Full Moon,Full_Moon_image3.jpg,https://untappd.com/b/croma-full-moon/2280386,7% ABV,50 IBU,"A Full Moon é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Azzaca, Citra e Ekuanot e devido ao processo de Duplo Dry Hop possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante ",4.16,
Croma,Pipeline,Pipeline_image1.jpg,https://untappd.com/b/croma-pipeline/2314814,5.5% ABV,35 IBU,"A Pipeline é uma Juicy APA, ou New England APA produzida com três variedades de lúpulo (Amarillo, Mosaic e Simcoe) tanto na fervura como nos dois dry hoppings. Nessa receita, optamos por um corpo mais baixo e maior drinkability, o que torna o conjunto muito refrescante.",4.14,
Croma,Pipeline,Pipeline_image2.jpg,https://untappd.com/b/croma-pipeline/2314814,5.5% ABV,35 IBU,"A Pipeline é uma Juicy APA, ou New England APA produzida com três variedades de lúpulo (Amarillo, Mosaic e Simcoe) tanto na fervura como nos dois dry hoppings. Nessa receita, optamos por um corpo mais baixo e maior drinkability, o que torna o conjunto muito refrescante.",4.14,
Croma,Pipeline,Pipeline_image3.jpg,https://untappd.com/b/croma-pipeline/2314814,5.5% ABV,35 IBU,"A Pipeline é uma Juicy APA, ou New England APA produzida com três variedades de lúpulo (Amarillo, Mosaic e Simcoe) tanto na fervura como nos dois dry hoppings. Nessa receita, optamos por um corpo mais baixo e maior drinkability, o que torna o conjunto muito refrescante.",4.14,
Croma,Sunshine,Sunshine_image1.jpg,https://untappd.com/b/croma-sunshine/2070833,7% ABV,50 IBU,"A Sunshine é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Citra, Amarillo e Mosaic e devido o processo de Duplo Dry Hopping possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante.",4.17,
Croma,Sunshine,Sunshine_image2.jpg,https://untappd.com/b/croma-sunshine/2070833,7% ABV,50 IBU,"A Sunshine é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Citra, Amarillo e Mosaic e devido o processo de Duplo Dry Hopping possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante.",4.17,
Croma,Sunshine,Sunshine_image3.jpg,https://untappd.com/b/croma-sunshine/2070833,7% ABV,50 IBU,"A Sunshine é uma Juicy IPA ou New England IPA que Leva uma carga absurda de Citra, Amarillo e Mosaic e devido o processo de Duplo Dry Hopping possui aroma potente, além do amargor curto e limpo. É formada por uma base de maltes claros e sem caramelo que mesmo assim mascara com muito equilíbrio os 7% ABV e torna o conjunto muito refrescante.",4.17,
Cervejaria Dogma,El Dorado Lover,El_Dorado_Lover_image1.jpg,https://untappd.com/b/cervejaria-dogma-el-dorado-lover/2292827,8.7% ABV,80 IBU, ,4.06,
Cervejaria Dogma,El Dorado Lover,El_Dorado_Lover_image2.jpg,https://untappd.com/b/cervejaria-dogma-el-dorado-lover/2292827,8.7% ABV,80 IBU, ,4.06,
Cervejaria Dogma,El Dorado Lover,El_Dorado_Lover_image3.jpg,https://untappd.com/b/cervejaria-dogma-el-dorado-lover/2292827,8.7% ABV,80 IBU, ,4.06,
Cervejaria Dogma,Sour Dogma,Sour_Dogma_image1.jpg,https://untappd.com/b/cervejaria-dogma-sour-dogma/1752360,4% ABV,16 IBU,"A Sour Dogma é uma Berliner Weisse que traz uma pequena variação em sua receita. A cervejaria optou por trocar o tradicional malte de trigo por malte de centeio, que dá uma sensação mais aveludada, encorpada e picante para a cerveja. Ao invés de usar xarope ou frutas, a ideia foi acrescentar um Dry Hop com o lúpulo alemão Huell Mellon, que apresenta um aroma muito interessante de frutas tropicais e cítricas. O resultado é uma cerveja leve e refrescante. Por que os Sócios do Clube Wbeer irão gostar? Por ser uma cerveja mais complexa e com acidez bem pronunciada. ",3.44,
Cervejaria Dogma,Sour Dogma,Sour_Dogma_image2.jpg,https://untappd.com/b/cervejaria-dogma-sour-dogma/1752360,4% ABV,16 IBU,"A Sour Dogma é uma Berliner Weisse que traz uma pequena variação em sua receita. A cervejaria optou por trocar o tradicional malte de trigo por malte de centeio, que dá uma sensação mais aveludada, encorpada e picante para a cerveja. Ao invés de usar xarope ou frutas, a ideia foi acrescentar um Dry Hop com o lúpulo alemão Huell Mellon, que apresenta um aroma muito interessante de frutas tropicais e cítricas. O resultado é uma cerveja leve e refrescante. Por que os Sócios do Clube Wbeer irão gostar? Por ser uma cerveja mais complexa e com acidez bem pronunciada. ",3.44,
Cervejaria Dogma,Sour Dogma,Sour_Dogma_image3.jpg,https://untappd.com/b/cervejaria-dogma-sour-dogma/1752360,4% ABV,16 IBU,"A Sour Dogma é uma Berliner Weisse que traz uma pequena variação em sua receita. A cervejaria optou por trocar o tradicional malte de trigo por malte de centeio, que dá uma sensação mais aveludada, encorpada e picante para a cerveja. Ao invés de usar xarope ou frutas, a ideia foi acrescentar um Dry Hop com o lúpulo alemão Huell Mellon, que apresenta um aroma muito interessante de frutas tropicais e cítricas. O resultado é uma cerveja leve e refrescante. Por que os Sócios do Clube Wbeer irão gostar? Por ser uma cerveja mais complexa e com acidez bem pronunciada. ",3.44,
Cervejaria Dogma,Austral,Austral_image1.jpg,https://untappd.com/b/cervejaria-dogma-austral/2245492,6.5% ABV,60 IBU, ,4.1,
Cervejaria Dogma,Austral,Austral_image2.jpg,https://untappd.com/b/cervejaria-dogma-austral/2245492,6.5% ABV,60 IBU, ,4.1,
Cervejaria Dogma,Austral,Austral_image3.jpg,https://untappd.com/b/cervejaria-dogma-austral/2245492,6.5% ABV,60 IBU, ,4.1,
Cervejaria Dogma,Genesis,Genesis_image1.jpg,https://untappd.com/b/cervejaria-dogma-genesis/2430831,8.9% ABV,85 IBU,“Deus criou o lúpulo e viu que era bom. Apresentamos a Gênesis: a mais nova criação da Cervejaria Dogma. Uma cerveja que nasceu com o propósito de agradar ao paladar dos mais atentos apreciadores do estilo IPA.” ,4.23,
Cervejaria Dogma,Genesis,Genesis_image2.jpg,https://untappd.com/b/cervejaria-dogma-genesis/2430831,8.9% ABV,85 IBU,“Deus criou o lúpulo e viu que era bom. Apresentamos a Gênesis: a mais nova criação da Cervejaria Dogma. Uma cerveja que nasceu com o propósito de agradar ao paladar dos mais atentos apreciadores do estilo IPA.” ,4.23,
Cervejaria Dogma,Genesis,Genesis_image3.jpg,https://untappd.com/b/cervejaria-dogma-genesis/2430831,8.9% ABV,85 IBU,“Deus criou o lúpulo e viu que era bom. Apresentamos a Gênesis: a mais nova criação da Cervejaria Dogma. Uma cerveja que nasceu com o propósito de agradar ao paladar dos mais atentos apreciadores do estilo IPA.” ,4.23,
Cervejaria Dogma,Citra Brux Brett IPA,Citra_Brux_Brett_IPA_image1.jpg,https://untappd.com/b/cervejaria-dogma-citra-brux-brett-ipa/2325726,6% ABV,50 IBU,"Citra Brux é uma brett ipa single hop de citra e fermentada com brettanomyces bruxelensis, resultando em uma cerveja leve , refrescante e com aroma frutado que combina maracuja , manga , abacaxi e frutas cítricas. ",4.04,
Cervejaria Dogma,Citra Brux Brett IPA,Citra_Brux_Brett_IPA_image2.jpg,https://untappd.com/b/cervejaria-dogma-citra-brux-brett-ipa/2325726,6% ABV,50 IBU,"Citra Brux é uma brett ipa single hop de citra e fermentada com brettanomyces bruxelensis, resultando em uma cerveja leve , refrescante e com aroma frutado que combina maracuja , manga , abacaxi e frutas cítricas. ",4.04,
Cervejaria Dogma,Citra Brux Brett IPA,Citra_Brux_Brett_IPA_image3.jpg,https://untappd.com/b/cervejaria-dogma-citra-brux-brett-ipa/2325726,6% ABV,50 IBU,"Citra Brux é uma brett ipa single hop de citra e fermentada com brettanomyces bruxelensis, resultando em uma cerveja leve , refrescante e com aroma frutado que combina maracuja , manga , abacaxi e frutas cítricas. ",4.04,
Cervejaria Dogma,Back To Basics,Back_To_Basics_image1.jpg,https://untappd.com/b/cervejaria-dogma-back-to-basics/2111072,7.8% ABV,58 IBU,"Uma receita para brindar as nossas origens. A Back to Basics é uma West Coast IPA, resinosa, frutada, seca e com amargor marcante. Feita para relembrar os amantes das IPAs o valor de uma boa e velha West Coast. ",4.16,
Cervejaria Dogma,Back To Basics,Back_To_Basics_image2.jpg,https://untappd.com/b/cervejaria-dogma-back-to-basics/2111072,7.8% ABV,58 IBU,"Uma receita para brindar as nossas origens. A Back to Basics é uma West Coast IPA, resinosa, frutada, seca e com amargor marcante. Feita para relembrar os amantes das IPAs o valor de uma boa e velha West Coast. ",4.16,
Cervejaria Dogma,Back To Basics,Back_To_Basics_image3.jpg,https://untappd.com/b/cervejaria-dogma-back-to-basics/2111072,7.8% ABV,58 IBU,"Uma receita para brindar as nossas origens. A Back to Basics é uma West Coast IPA, resinosa, frutada, seca e com amargor marcante. Feita para relembrar os amantes das IPAs o valor de uma boa e velha West Coast. ",4.16,
Cervejaria Dogma,Felix Culpa,Felix_Culpa_image1.jpg,https://untappd.com/b/cervejaria-dogma-felix-culpa/2253972,5.2% ABV,N/A IBU, ,3.96,
Cervejaria Dogma,Felix Culpa,Felix_Culpa_image2.jpg,https://untappd.com/b/cervejaria-dogma-felix-culpa/2253972,5.2% ABV,N/A IBU, ,3.96,
Cervejaria Dogma,Felix Culpa,Felix_Culpa_image3.jpg,https://untappd.com/b/cervejaria-dogma-felix-culpa/2253972,5.2% ABV,N/A IBU, ,3.96,
Cervejaria Dogma,Alpha Ryeno,Alpha_Ryeno_image1.jpg,https://untappd.com/b/cervejaria-dogma-alpha-ryeno/1698613,6.2% ABV,70 IBU, ,4.07,
Cervejaria Dogma,Alpha Ryeno,Alpha_Ryeno_image2.jpg,https://untappd.com/b/cervejaria-dogma-alpha-ryeno/1698613,6.2% ABV,70 IBU, ,4.07,
Cervejaria Dogma,Alpha Ryeno,Alpha_Ryeno_image3.jpg,https://untappd.com/b/cervejaria-dogma-alpha-ryeno/1698613,6.2% ABV,70 IBU, ,4.07,
Cervejaria Dogma,Branca de Brett,Branca_de_Brett_image1.jpg,https://untappd.com/b/cervejaria-dogma-branca-de-brett/1817262,5.5% ABV,30 IBU,Sour ale fermentada com blend de brettanomyces e adição de abacaxi e manga ,4.01,
Cervejaria Dogma,Branca de Brett,Branca_de_Brett_image2.jpg,https://untappd.com/b/cervejaria-dogma-branca-de-brett/1817262,5.5% ABV,30 IBU,Sour ale fermentada com blend de brettanomyces e adição de abacaxi e manga ,4.01,
Cervejaria Dogma,Branca de Brett,Branca_de_Brett_image3.jpg,https://untappd.com/b/cervejaria-dogma-branca-de-brett/1817262,5.5% ABV,30 IBU,Sour ale fermentada com blend de brettanomyces e adição de abacaxi e manga ,4.01,
Cervejaria Dogma,Azacca Lover,Azacca_Lover_image1.jpg,https://untappd.com/b/cervejaria-dogma-azacca-lover/1743877,8.5% ABV,85 IBU,Single Hop Azacca ,4.16,
Cervejaria Dogma,Azacca Lover,Azacca_Lover_image2.jpg,https://untappd.com/b/cervejaria-dogma-azacca-lover/1743877,8.5% ABV,85 IBU,Single Hop Azacca ,4.16,
Cervejaria Dogma,Azacca Lover,Azacca_Lover_image3.jpg,https://untappd.com/b/cervejaria-dogma-azacca-lover/1743877,8.5% ABV,85 IBU,Single Hop Azacca ,4.16,
Cervejaria Dogma,Panopticon Times,Panopticon_Times_image1.jpg,https://untappd.com/b/cervejaria-dogma-panopticon-times/1220865,5.6% ABV,23 IBU,"Uma Belgian Saison foi elaborada, refrescante, frutada e complexa. Na receita o Cajá-Manga e um Dry-Hopping generoso do lúpulo americano Equinox, para acentuar ainda mais o cítrico e tropical dessa cerveja que visa desligar nossa sociedade desse controle e religar ao que realmente importa. ",3.79,
Cervejaria Dogma,Panopticon Times,Panopticon_Times_image2.jpg,https://untappd.com/b/cervejaria-dogma-panopticon-times/1220865,5.6% ABV,23 IBU,"Uma Belgian Saison foi elaborada, refrescante, frutada e complexa. Na receita o Cajá-Manga e um Dry-Hopping generoso do lúpulo americano Equinox, para acentuar ainda mais o cítrico e tropical dessa cerveja que visa desligar nossa sociedade desse controle e religar ao que realmente importa. ",3.79,
Cervejaria Dogma,Panopticon Times,Panopticon_Times_image3.jpg,https://untappd.com/b/cervejaria-dogma-panopticon-times/1220865,5.6% ABV,23 IBU,"Uma Belgian Saison foi elaborada, refrescante, frutada e complexa. Na receita o Cajá-Manga e um Dry-Hopping generoso do lúpulo americano Equinox, para acentuar ainda mais o cítrico e tropical dessa cerveja que visa desligar nossa sociedade desse controle e religar ao que realmente importa. ",3.79,
Cervejaria Dogma,Boreas,Boreas_image1.jpg,https://untappd.com/b/cervejaria-dogma-boreas/2267404,6.9% ABV,70 IBU,"Boreas é a nossa IPA com Cryo Hops! Uma IPA que traz toda a intensidade dos lúpulos Citra, Simcoe e Mosaic concentrados pelo processo de criogenia. ",4.1,
Cervejaria Dogma,Boreas,Boreas_image2.jpg,https://untappd.com/b/cervejaria-dogma-boreas/2267404,6.9% ABV,70 IBU,"Boreas é a nossa IPA com Cryo Hops! Uma IPA que traz toda a intensidade dos lúpulos Citra, Simcoe e Mosaic concentrados pelo processo de criogenia. ",4.1,
Cervejaria Dogma,Boreas,Boreas_image3.jpg,https://untappd.com/b/cervejaria-dogma-boreas/2267404,6.9% ABV,70 IBU,"Boreas é a nossa IPA com Cryo Hops! Uma IPA que traz toda a intensidade dos lúpulos Citra, Simcoe e Mosaic concentrados pelo processo de criogenia. ",4.1,
Cervejaria Dogma,Equinox Lover,Equinox_Lover_image1.jpg,https://untappd.com/b/cervejaria-dogma-equinox-lover/1824383,8.7% ABV,80 IBU,Série single hop com Equinox! ,4.22,
Cervejaria Dogma,Equinox Lover,Equinox_Lover_image2.jpg,https://untappd.com/b/cervejaria-dogma-equinox-lover/1824383,8.7% ABV,80 IBU,Série single hop com Equinox! ,4.22,
Cervejaria Dogma,Equinox Lover,Equinox_Lover_image3.jpg,https://untappd.com/b/cervejaria-dogma-equinox-lover/1824383,8.7% ABV,80 IBU,Série single hop com Equinox! ,4.22,
Cervejaria Dogma,Galaxy Lover,Galaxy_Lover_image1.jpg,https://untappd.com/b/cervejaria-dogma-galaxy-lover/1903504,8.7% ABV,80 IBU, ,4.12,
Cervejaria Dogma,Galaxy Lover,Galaxy_Lover_image2.jpg,https://untappd.com/b/cervejaria-dogma-galaxy-lover/1903504,8.7% ABV,80 IBU, ,4.12,
Cervejaria Dogma,Galaxy Lover,Galaxy_Lover_image3.jpg,https://untappd.com/b/cervejaria-dogma-galaxy-lover/1903504,8.7% ABV,80 IBU, ,4.12,
Cervejaria Dogma,Sourmind,Sourmind_image1.jpg,https://untappd.com/b/cervejaria-dogma-sourmind/1824384,4.4% ABV,9 IBU,Berliner feita com centeio e com suco de manga e goiaba! ,4.01,
Cervejaria Dogma,Sourmind,Sourmind_image2.jpg,https://untappd.com/b/cervejaria-dogma-sourmind/1824384,4.4% ABV,9 IBU,Berliner feita com centeio e com suco de manga e goiaba! ,4.01,
Cervejaria Dogma,Sourmind,Sourmind_image3.jpg,https://untappd.com/b/cervejaria-dogma-sourmind/1824384,4.4% ABV,9 IBU,Berliner feita com centeio e com suco de manga e goiaba! ,4.01,
Cervejaria Dogma,Magnum Opus,Magnum_Opus_image1.jpg,https://untappd.com/b/cervejaria-dogma-magnum-opus/1973050,9% ABV,80 IBU,"Magnum opus em latim significa a grande obra, a melhor ou mais famosa obra de um artista, por isso escolhemos esse nome, pois essa cerveja foi pensada desde o inicio para ser a nossa grande obra, a melhor e mais complexa ipa criada pela dogma",4.32,
Cervejaria Dogma,Magnum Opus,Magnum_Opus_image2.jpg,https://untappd.com/b/cervejaria-dogma-magnum-opus/1973050,9% ABV,80 IBU,"Magnum opus em latim significa a grande obra, a melhor ou mais famosa obra de um artista, por isso escolhemos esse nome, pois essa cerveja foi pensada desde o inicio para ser a nossa grande obra, a melhor e mais complexa ipa criada pela dogma",4.32,
Cervejaria Dogma,Magnum Opus,Magnum_Opus_image3.jpg,https://untappd.com/b/cervejaria-dogma-magnum-opus/1973050,9% ABV,80 IBU,"Magnum opus em latim significa a grande obra, a melhor ou mais famosa obra de um artista, por isso escolhemos esse nome, pois essa cerveja foi pensada desde o inicio para ser a nossa grande obra, a melhor e mais complexa ipa criada pela dogma",4.32,
Cervejaria Dogma,Modern Dogma,Modern_Dogma_image1.jpg,https://untappd.com/b/cervejaria-dogma-modern-dogma/1220864,9% ABV,40 IBU,"Uma cerveja encorpada com aromas de torrefação, café, caramelo, frutas secas e adição de cacau e café brasileiro, para dar ainda mais personalidade a essa criação que junta duas cervejarias jovens. ",4.13,
